IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
67.226.222.54,80,443,true,CMH,North America,Columbus,223,7.33
18.188.153.231,8443,443,true,CMH,North America,Columbus,215,7.32
204.110.223.113,80,443,true,CMH,North America,Columbus,219,7.32
204.110.220.77,80,443,true,PDX,North America,Portland,198,7.32
204.110.220.206,80,443,true,PDX,North America,Portland,196,7.31
35.178.199.250,2053,443,true,LHR,Europe,London,175,7.29
13.59.52.116,2053,443,true,CMH,North America,Columbus,220,7.26
3.71.196.187,8080,443,true,FRA,Europe,Frankfurt,186,7.25
15.223.1.84,8443,443,true,YUL,North America,Montréal,240,7.25
3.145.196.67,2053,443,true,CMH,North America,Columbus,217,7.25
67.226.222.2,443,443,true,CMH,North America,Columbus,219,7.25
52.14.132.81,443,443,true,CMH,North America,Columbus,218,7.25
18.236.13.188,443,443,true,SEA,North America,Seattle,194,7.24
67.226.222.150,80,443,true,CMH,North America,Columbus,215,7.24
204.110.223.43,443,443,true,CMH,North America,Columbus,216,7.23
67.226.223.240,443,443,true,CMH,North America,Columbus,216,7.23
67.226.222.32,80,443,true,CMH,North America,Columbus,215,7.21
204.110.223.6,80,443,true,CMH,North America,Columbus,220,7.20
13.41.222.150,8080,443,true,LHR,Europe,London,175,7.20
18.224.177.250,443,443,true,CMH,North America,Columbus,227,7.20
44.241.54.108,443,443,true,PDX,North America,Portland,196,7.19
54.199.222.232,443,443,true,NRT,Asia Pacific,Tokyo,69,7.19
67.226.222.136,80,443,true,CMH,North America,Columbus,216,7.16
18.219.162.224,443,443,true,ORD,North America,Chicago,219,7.16
204.110.221.170,80,443,true,SEA,North America,Seattle,199,7.15
204.110.223.31,80,443,true,CMH,North America,Columbus,215,7.14
204.110.223.229,80,443,true,CMH,North America,Columbus,215,7.12
52.10.78.7,443,443,true,PDX,North America,Portland,192,7.11
204.110.223.191,80,443,true,CMH,North America,Columbus,232,7.11
204.110.223.89,80,443,true,CMH,North America,Columbus,220,7.10
3.123.242.99,443,443,true,FRA,Europe,Frankfurt,168,7.10
18.118.255.189,443,443,true,ORD,North America,Chicago,229,7.10
204.110.221.150,80,443,true,SEA,North America,Seattle,200,7.08
3.98.54.22,2053,443,true,YUL,North America,Montréal,244,7.07
204.110.223.153,80,443,true,CMH,North America,Columbus,217,7.07
204.110.223.43,80,443,true,CMH,North America,Columbus,219,7.06
204.110.223.67,80,443,true,CMH,North America,Columbus,220,7.06
204.110.223.46,443,443,true,CMH,North America,Columbus,216,7.03
18.226.170.243,443,443,true,ORD,North America,Chicago,233,7.03
204.110.223.178,443,443,true,CMH,North America,Columbus,228,7.02
67.226.222.178,80,443,true,CMH,North America,Columbus,215,7.01
204.110.223.36,80,443,true,CMH,North America,Columbus,215,7.00
204.110.223.29,80,443,true,CMH,North America,Columbus,219,6.99
204.110.223.210,80,443,true,CMH,North America,Columbus,215,6.98
18.192.152.35,2053,443,true,FRA,Europe,Frankfurt,174,6.98
3.78.92.201,2053,443,true,FRA,Europe,Frankfurt,168,6.98
67.226.222.33,80,443,true,CMH,North America,Columbus,216,6.97
204.110.223.105,80,443,true,CMH,North America,Columbus,220,6.97
204.110.223.33,80,443,true,CMH,North America,Columbus,220,6.97
67.226.222.152,80,443,true,CMH,North America,Columbus,219,6.97
67.226.222.192,80,443,true,CMH,North America,Columbus,216,6.97
204.110.223.48,80,443,true,CMH,North America,Columbus,246,6.97
204.110.223.79,80,443,true,CMH,North America,Columbus,221,6.96
44.242.211.245,443,443,true,SEA,North America,Seattle,212,6.95
15.223.1.84,2053,443,true,YUL,North America,Montréal,242,6.95
67.226.222.187,80,443,true,CMH,North America,Columbus,220,6.94
35.179.107.222,80,443,true,LHR,Europe,London,170,6.94
3.143.252.112,443,443,true,ORD,North America,Chicago,219,6.94
204.110.223.148,80,443,true,CMH,North America,Columbus,215,6.93
67.226.222.10,80,443,true,CMH,North America,Columbus,219,6.91
67.226.222.241,80,443,true,CMH,North America,Columbus,216,6.88
204.110.223.172,443,443,true,CMH,North America,Columbus,215,6.88
204.110.223.253,80,443,true,CMH,North America,Columbus,219,6.87
67.226.222.217,80,443,true,CMH,North America,Columbus,219,6.86
204.110.223.105,443,443,true,CMH,North America,Columbus,219,6.85
204.110.223.83,80,443,true,CMH,North America,Columbus,215,6.85
15.222.21.128,2053,443,true,YUL,North America,Montréal,240,6.80
